Date,Open,High,Low,Close,Volume
8/18/2020,50,50.7,2.9,3.1099,3415656.923
8/19/2020,3.1099,3.16,2.71,2.9175,1378929.705
8/20/2020,2.9175,2.96,2.73,2.909,888862.2269
8/21/2020,2.938,3.7,2.8,3.0776,1066407.288
8/22/2020,3.0776,4.4866,2.85,4.4515,4020938.954
8/23/2020,4.4642,4.4662,3.7062,3.9775,1560250.219
8/24/2020,4.0183,4.85,3.81,4.594,1560210.138
8/25/2020,4.5914,5.839,4.5001,5.55,3024350.678
8/26/2020,5.55,6.5789,5.11,6.0594,2112266.626
8/27/2020,6.0783,6.8,5.2301,5.6521,2218474.276
8/28/2020,5.683,6.35,5.5193,6.17,1600796.771
8/29/2020,6.185,6.565,6.0155,6.15,801626.1879
8/30/2020,6.15,6.212,5.1,5.8903,830835.3145
8/31/2020,5.8903,6.4798,5.7556,6.2899,805141.6589
9/1/2020,6.2811,6.8674,6.142,6.2566,1016741.15
9/2/2020,6.2574,6.449,5.6,6.1273,988650.3396
9/3/2020,6.144,6.4,5.6,5.7243,1228432.17
9/4/2020,5.7001,6.0008,4.5285,5.1236,1660496.376
9/5/2020,5.1183,5.3037,3.57,4.1309,3017122.78
9/6/2020,4.1513,4.9128,3.7394,4.78,1380272.933
9/7/2020,4.7636,4.8265,4.0137,4.5854,1129037.401
9/8/2020,4.6,4.6233,4.1103,4.271,731170.4551
9/9/2020,4.27,4.79,4.1348,4.6963,787234.7893
9/10/2020,4.7058,4.8946,4.4436,4.5832,799202.8882
9/11/2020,4.5832,4.7364,4.322,4.6555,567802.2978
9/12/2020,4.6481,5.3009,4.5063,5.1568,622527.7385
9/13/2020,5.1379,5.474,4.7869,5.315,786741.6491
9/14/2020,5.2751,5.6204,5.0867,5.3657,940194.5109
9/15/2020,5.3799,5.4474,5.055,5.0582,792777.8829
9/16/2020,5.055,5.2769,4.966,5.0708,434378.7654
9/17/2020,5.0567,5.42,5.0498,5.3442,662026.1079
9/18/2020,5.341,5.45,5.1,5.2527,502940.0331
9/19/2020,5.2535,5.2535,4.81,4.9299,462132.5389
9/20/2020,4.9299,4.9754,4.4097,4.6816,508949.6831
9/21/2020,4.6546,4.7043,3.9125,4.0551,1399906.464
9/22/2020,4.0714,4.21,3.9,4.17,558667.1479
9/23/2020,4.1682,4.3207,3.9383,4,723784.0681
9/24/2020,4,4.4725,3.9665,4.3878,544348.9712
9/25/2020,4.3927,4.6,4.2469,4.423,617966.3301
9/26/2020,4.4265,4.4662,4.2229,4.3321,361998.031
9/27/2020,4.3336,4.3636,4.1281,4.2955,274898.4705
9/28/2020,4.3098,4.5827,4.25,4.4561,622476.8017
9/29/2020,4.4488,4.598,4.35,4.4895,358124.4894
9/30/2020,4.4813,4.4813,4.2431,4.3475,286853.838
10/1/2020,4.355,4.582,4.2315,4.3478,589022.8007
10/2/2020,4.3381,4.3592,3.91,4.12,777261.2153
10/3/2020,4.1215,4.1299,4.0342,4.0676,173628.55
10/4/2020,4.0678,4.1911,4.019,4.1798,352301.6698
10/5/2020,4.1753,4.2407,4.11,4.1647,243637.8471
10/6/2020,4.1669,4.1811,3.6035,3.7536,1058698.453
10/7/2020,3.7433,3.8829,3.6003,3.8584,461060.449
10/8/2020,3.8612,4.1769,3.6484,4.1206,600637.0875
10/9/2020,4.107,4.3478,4.0111,4.263,549523.8513
10/10/2020,4.2662,4.48,4.2279,4.2391,431439.2694
10/11/2020,4.2599,4.33,4.1665,4.2459,285539.9676
10/12/2020,4.2562,4.4444,4.1816,4.3076,585342.2806
10/13/2020,4.3178,4.3453,4.1301,4.2563,324383.7907
10/14/2020,4.2546,4.3705,4.0739,4.1955,449618.713
10/15/2020,4.185,4.185,4.021,4.0955,233914.8223
10/16/2020,4.0814,4.1527,3.8104,3.9155,377944.0457
10/17/2020,3.9136,3.9838,3.8667,3.968,78769.79565
10/18/2020,3.9607,4.1213,3.9589,4.1112,178087.8771
10/19/2020,4.1121,4.1144,3.96,3.9895,228132.0715
10/20/2020,3.985,4.1453,3.8668,3.9129,366908.506
10/21/2020,3.9021,4.25,3.9021,4.1435,502395.28
10/22/2020,4.1438,4.3394,4.1246,4.27,582537.5856
10/23/2020,4.27,4.4767,4.19,4.2674,327830.0284
10/24/2020,4.2554,4.4299,4.2384,4.361,243224.0423
10/25/2020,4.3501,4.445,4.2606,4.3335,236875.5763
10/26/2020,4.3241,4.7484,4.291,4.7076,678646.9358
10/27/2020,4.7202,4.9391,4.6542,4.6736,609987.8601
10/28/2020,4.6771,4.7756,4.2542,4.37,371736.5991
10/29/2020,4.3492,4.3983,3.91,4.0567,495272.3357
10/30/2020,4.0643,4.1598,3.915,4.0864,401729.158
10/31/2020,4.0825,4.2734,4.0679,4.1834,175164.6878
11/1/2020,4.18,4.2225,4.1112,4.2225,110749.6568
11/2/2020,4.2385,4.2648,3.97,4.0414,383060.3727
11/3/2020,4.0389,4.0656,3.8936,4.0293,441384.0684
11/4/2020,4.0368,4.1543,3.8999,4.104,419375.4003
11/5/2020,4.1,4.304,4.0176,4.232,457965.2573
11/6/2020,4.235,4.6451,4.2078,4.5866,460288.0445
11/7/2020,4.5963,4.8616,4.0861,4.2399,772351.3032
11/8/2020,4.2358,4.4323,4.1393,4.3746,403795.789
11/9/2020,4.3706,4.4666,4.25,4.3493,252771.696
11/10/2020,4.3524,4.5018,4.3066,4.4191,273702.247
11/11/2020,4.4564,4.6278,4.4233,4.4549,502315.84
11/12/2020,4.445,4.472,4.3254,4.4097,379178.5983
11/13/2020,4.4098,4.5923,4.384,4.546,295985.569
11/14/2020,4.5471,4.5471,4.365,4.4713,143950.3738
11/15/2020,4.466,4.4999,4.3101,4.3722,157585.7348
11/16/2020,4.3628,4.59,4.347,4.4882,388035.8847
11/17/2020,4.5009,4.935,4.4948,4.8547,1020657.873
11/18/2020,4.8646,4.9473,4.522,4.6896,485407.464
11/19/2020,4.7,4.85,4.5489,4.758,361301.0929
11/20/2020,4.766,5.4761,4.7518,5.2387,1354715.807
11/21/2020,5.235,5.8,5.14,5.7857,621749.4379
11/22/2020,5.7926,5.8434,5.1859,5.5199,683268.2765
11/23/2020,5.5482,5.95,5.4283,5.9169,945182.7637
11/24/2020,5.908,6.086,5.6075,5.739,1358555.27
11/25/2020,5.7612,5.8434,5.12,5.31,926456.9341
11/26/2020,5.2975,5.3835,4.4458,4.8048,1352961.173
11/27/2020,4.8072,5.0696,4.511,4.8136,300396.4497
11/28/2020,4.8093,4.9551,4.677,4.9032,334781.3382
11/29/2020,4.9026,5.2047,4.813,5.1923,515853.2733
11/30/2020,5.2174,5.4521,5.1402,5.3778,440042.9659
12/1/2020,5.3664,5.5363,4.9912,5.0896,631767.2731
12/2/2020,5.0849,5.5493,5.0084,5.4634,356632.4267
12/3/2020,5.4917,5.5721,5.3338,5.4045,271824.3961
12/4/2020,5.4034,5.4312,4.9671,5.021,393493.9629
12/5/2020,5.0059,5.19,4.8873,5.1871,207796.4345
12/6/2020,5.19,5.2,5.01,5.1325,114988.4585
12/7/2020,5.1366,5.15,5.0148,5.0578,73625.36524
12/8/2020,5.0569,5.0678,4.7,4.7329,538479.8693
12/9/2020,4.7389,4.9375,4.6196,4.8768,474825.7436
12/10/2020,4.8835,4.9099,4.75,4.8017,278902.4933
12/11/2020,4.79,4.79,4.5454,4.619,203005.5332
12/12/2020,4.6233,4.7943,4.6233,4.7342,170600.6147
12/13/2020,4.757,5.95,4.735,4.8836,462543.8909
12/14/2020,4.8892,5.011,4.835,4.8963,250907.2969
12/15/2020,4.905,5.2913,4.8459,5.2495,366414.7577
12/16/2020,5.2431,5.3785,5.1247,5.3731,397463.4421
12/17/2020,5.38,5.7419,5.2701,5.347,1024096.865
12/18/2020,5.3398,5.6052,5.2547,5.3641,604479.626
12/19/2020,5.3659,5.5719,5.293,5.3459,309018.1621
12/20/2020,5.3415,5.4392,5.0732,5.1943,308119.3173
12/21/2020,5.1823,5.4409,4.7854,4.8751,776660.0767
12/22/2020,4.8751,5.1722,4.8057,5.1599,491074.1129
12/23/2020,5.1512,5.1907,4.5988,4.7233,391902.2288
12/24/2020,4.7111,5.1943,4.6409,5.1346,472680.9447
12/25/2020,5.1111,5.27,5.0445,5.2165,515605.3563
12/26/2020,5.2006,5.28,5.089,5.1879,334887.2691
12/27/2020,5.1853,5.41,4.922,5.1435,1063885.441
12/28/2020,5.148,6.6788,5.1124,6.5808,2227818.328
12/29/2020,6.626,7.685,6.1752,7.5545,2414409.102
12/30/2020,7.5462,7.6528,7.0501,7.232,1614452.555
12/31/2020,7.2318,9.5346,7.152,9.2787,3178372.063
1/1/2021,9.2727,9.4357,8.101,8.3007,2056694.136
1/2/2021,8.3,9.84,7.9202,9.2198,3180434.224
1/3/2021,9.2145,10.5,8.8504,10.1587,2814104.256
1/4/2021,10.1828,10.5346,8.72,9.5173,2495655.791
1/5/2021,9.5301,10.0791,9.0397,9.7495,1689712.888
1/6/2021,9.7869,10.4455,9.48,10.1027,1608375.525
1/7/2021,10.1044,10.7035,9.432,9.6547,3254293.762
1/8/2021,9.655,9.8236,8.8035,9.3158,2076220.181
1/9/2021,9.3084,9.844,8.81,9.775,1151783.997
1/10/2021,9.7827,10,8.62,9.3089,1336023.7
1/11/2021,9.3,9.3176,7.2,8.2969,3038269.924
1/12/2021,8.2884,8.7198,7.923,8.2997,892124.966
1/13/2021,8.3082,11.69,7.968,10.9394,3661988.148
1/14/2021,10.9666,14.6558,10.89,14.4521,3820931.6
1/15/2021,14.4758,14.92,11.76,13.1733,3690399.757
1/16/2021,13.1758,19.3966,13.1758,17.9915,5094883.379
1/17/2021,17.9702,18.5,16.31,17.0978,2931644.659
1/18/2021,17.0939,18.19,12.524,16.5827,2204109.994
1/19/2021,16.588,17.5,15.9167,16.41,1757519.232
1/20/2021,16.3908,18.2132,14.7597,17.9953,2829050.042
1/21/2021,18,18.1446,14.9615,15.938,2519205.86
1/22/2021,15.9816,18.0356,14.78,17.154,2329747.904
1/23/2021,17.1722,18.79,16.825,18.75,1702826.202
1/24/2021,18.75,18.75,17.2827,17.99,1156994.885
1/25/2021,18.0072,19.1122,17.0772,17.2256,1512760.796
1/26/2021,17.2,17.7989,16.0252,17.1305,1254318.128
1/27/2021,17.1172,17.1295,15.05,15.5174,1749135.815
1/28/2021,15.4697,17.4925,15.2863,16.91,1369671.317
1/29/2021,16.9099,17.7833,16.01,16.8137,1260817.219
1/30/2021,16.8259,17.0895,16.1413,16.5571,778973.4502
1/31/2021,16.5531,17.5068,15.6793,16.124,933558.8049
2/1/2021,16.1049,16.5599,15.6661,16.4453,768484.5123
2/2/2021,16.4453,17.6,16.0501,17.1612,1421110.206
2/3/2021,17.2,20.96,16.76,20.8961,2452080.145
2/4/2021,20.9002,21.7309,19,19.7193,1968030.796
2/5/2021,19.7024,21.3999,19.3873,20.8701,1870324.977
2/6/2021,20.8634,21.4,19.8706,20.3982,1137375.445
2/7/2021,20.419,20.8246,18.2778,19.8,1521633.162
2/8/2021,19.7741,23.7059,19.2225,23.0014,2116071.262
2/9/2021,23.0153,24.1372,22.2805,23.1203,1429032.009
2/10/2021,23.1156,24.84,22.0318,23.6074,1617328.557
2/11/2021,23.6074,25.7251,23.2574,25.0317,1582693.263
2/12/2021,25.0881,29.7716,24.55,28.7012,1686874.746
2/13/2021,28.7066,30.24,27.2769,27.9795,1710700.241
2/14/2021,27.981,29.4125,26.5,26.9515,1007560.419
2/15/2021,26.9504,29.5532,23.3401,27.782,1643031.962
2/16/2021,27.8011,30.9822,26.8536,30.035,1936261.225
2/17/2021,30.035,32.4,29.656,32.021,1487975.994
2/18/2021,32.0179,32.6195,30.6,31.0534,916299.6282
2/19/2021,31.2155,35,29.5575,34.8199,1481545.243
2/20/2021,34.8199,42.2256,34.7261,39,2575739.235
2/21/2021,39.0312,40.5667,38.0857,39.5653,788050.0163
2/22/2021,39.6454,39.798,12.5,37.6691,1835498.753
2/23/2021,37.6631,37.7849,26.369,34.5736,3142705.178
2/24/2021,34.5756,36.9273,31.9084,33.6993,1759070.596
2/25/2021,33.6992,35.2822,30.8716,31.2114,1501012.71
2/26/2021,31.1911,33.6325,28.0227,31.4514,2188621.583
2/27/2021,31.4596,35.66,31.3737,33.4897,1544240.051
2/28/2021,33.4733,34.6413,29.75,33.8421,1379908.673
3/1/2021,33.9034,35.6991,33.0916,35.6962,996477.033
3/2/2021,35.698,37.8945,34.4217,36.2141,1383415.743
3/3/2021,36.1863,38.6895,36.1863,37.0544,994612.1824
3/4/2021,37.0686,38.4357,34.3173,35.2609,860721.7883
3/5/2021,35.2236,35.2345,31.4114,33.6204,1188714.373
3/6/2021,33.6355,34.1869,32.055,33.3719,579025.0364
3/7/2021,33.3713,35.3269,33.3713,35.1074,530886.2166
3/8/2021,35.1037,35.5657,33.52,34.9963,718952.272
3/9/2021,34.9861,38.8973,34.5503,38.2223,1073826.115
3/10/2021,38.2204,39.5232,36.3036,37.5815,1004713.236
3/11/2021,37.5581,38.0508,35.9114,36.9036,1073987.108
3/12/2021,36.9036,37.4699,34.45,35.9826,859918.9666
3/13/2021,35.9778,38.2247,34.721,37.1467,987442.2138
3/14/2021,37.1266,37.9733,36.3,36.49,587176.7771
3/15/2021,36.49,38.4997,33.88,34.3,811636.6931
3/16/2021,34.3155,35.5499,32.1,35.4176,846210.6476
3/17/2021,35.4166,36.44,34.3942,36.1435,649867.7321
3/18/2021,36.1104,36.99,35.2801,35.3481,761427.416
3/19/2021,35.3263,38.8809,34.6132,38.1888,886964.8711
3/20/2021,38.1732,40,37.188,37.2679,798969.7458
3/21/2021,37.2392,38.0611,36.1119,36.6443,457132.6949
3/22/2021,36.6819,37.7458,35.12,35.2592,536512.4611
3/23/2021,35.25,36.2692,33.7526,34.2,767799.9346
3/24/2021,34.2,36.0999,28.5,30.2516,1763027.006
3/25/2021,30.2111,31.2426,28.3719,29.8528,1190591.906
3/26/2021,29.81,33.3825,29.81,33.1939,785221.5127
3/27/2021,33.1907,33.5185,31.1137,32.6457,705393.4203
3/28/2021,32.6036,33.25,31.2338,32.2417,529060.631
3/29/2021,32.2281,35,31.7057,34.3677,925385.479
3/30/2021,34.3383,34.7956,33.5001,33.973,471250.5664
3/31/2021,33.9879,38.2472,33.3028,37.058,1180606.929
4/1/2021,37.0611,38.9634,36.0533,37.4372,925831.1995
4/2/2021,37.4413,41.33,36.648,40.9987,667249.1168
4/3/2021,40.9931,46.7,40.8886,41.3293,1326938.331
4/4/2021,41.3527,45.0784,40.6915,44.3199,521930.0005
4/5/2021,44.3199,45.83,41.839,45.765,660029.6938
